ID,Site group (Japanese),Site name (Japanese),Locality name (Japanese),Cultural layer,Site group,Site name ,Locality name,Adress (Japanese),North Latitude,East Longitude,Geodetic system,Altitude (Tokyo Peil),Knife shaped tool,Trapeze（Trapezoid）,Axe shaped tool,Tangged point on blade,Triangulared pointed tool,Lanceolate shaped point,Biface,Micro blade,Mikoshiba type axe shaped tool,Tangged point,End scraper/Scraper,Burin,Whetstone,Hammer stone,Anvil stone,Pebble tool,Others (Japanease),Earthenware from the Incipient Jomon,Lithic cluster,Pebble cluster,Charcoal fragment concentration,Other features,Remark,Citation,CitationID1,CitationID2,Citation ID3,Citation ID4,Citation ID5,CitationID6,Research type,Creation date,Created by,Update date,Updated by,Coordinate check
ID,遺跡群名,遺跡名,地点・地区名,文化層・石器文化,遺跡群名読み方,遺跡名読み方,地点・地区名読み方,所在地,緯度,経度,測地系,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器,その他の石器,草創期土器,ブロック･ユニット,礫群・配石,炭化物集中,その他の遺構,特記事項,文献,文献ID1,文献ID2,文献ID3,文献ID4,文献ID5,文献ID6,調査歴,作成年月日,作成者,更新年月日,更新者,位置修正
330260,,出崎遺跡,第１地点,,,Desaki,Loc.1,玉野市出崎,34.519778,133.994639,世界,60,○,,,,,,,○,,,,,,,,,縦長剥片,,,,,,,小野・三好・白石・藤井・黒田2011,B330103,,,,,,採集資料,20171126,光石鳴巳,,,
330261,,出崎遺跡,第２地点,,,Desaki,Loc.2,玉野市出崎,34.515444,134.001278,世界,10,○,,,,,,,,,,,,,,,,スクレイパー,,,,,,,小野・三好・白石・藤井・黒田2011,B330103,,,,,,採集資料,20171126,光石鳴巳,,,
330262,,出崎遺跡,第３地点,,,Desaki,Loc.3,玉野市出崎,34.512222,134.003056,世界,10,○,,,,,○,,,,,,,,,,,,,,,,,県GISでは、出崎遺跡D地点,小野・三好・白石・藤井・黒田2011,B330103,,,,,,採集資料,20171126,光石鳴巳,,,
330263,,出崎遺跡,第４地点,,,Desaki,Loc.4,玉野市出崎,34.513917,134.003861,世界,40,○,,,,,,,,,,,,,,,,,,,,,,,小野・三好・白石・藤井・黒田2011,B330103,,,,,,採集資料,20171126,光石鳴巳,,,
330264,,出崎遺跡,第５地点,,,Desaki,Loc.5,玉野市出崎,34.524361,133.996583,世界,50,○,,,,,,,,,,,,,,,,,,,,,,,小野・三好・白石・藤井・黒田2011,B330103,,,,,,採集資料,20171126,光石鳴巳,,,
330265,,横田遺跡,,,,Yokota,,新見市哲西町矢田横田,34.92578,133.32392,世界,400,,,,,,○,,,,,,,,,,,,,,,,,,岡山県教育委員会1978,B330154,,,,,,発掘調査,20180323,小嶋善邦,,,
330266,,鍛冶屋谷遺跡,,,,Kajiyadani,,岡山市北区御津新庄陰地,34.8175,133.969444,世界,60,,,,,,,,,,○,,,,,,,,,,,,,,岡山県御津町教育委員会1998,B330155,,,,,,発掘調査,20180323,小嶋善邦,,,
330267,,賞田廃寺,,,,Syoudahaiji,,岡山市中区賞田,34.69833,133.96116,世界,10,,,,,,,,,,△,,,,,,,,,,,,,,岡山県教育委員会2008b,B330120,,,,,,発掘調査,20180323,小嶋善邦,,,
330268,,下道山南古墳,,,,Gedouyamaminamikohun,,津山市総社,35.08074,133.992516,世界,180,,,,,,,,,,,,,,,,○,,,,,,,,岡山県教育委員会1977,B330158,,,,,,発掘調査,20220530,小嶋善邦,,,
330269,,和田谷遺跡,,,,Wadadani,,浅口市鴨方町六条院,34.506882,133.573616,世界,30,,,,,,,,,,○,,,,,,,,,,,,,,岡山県教育委員会2022a,B330159,,,,,,発掘調査,20220530,小嶋善邦,,,
330270,,マキサヤ遺跡,,,,Makisaya,,浅口郡里庄町新庄,34.499655,133.559192,世界,30,,,,,,,,,,,,,,,,,縦長剥片/石核,,,,,,,岡山県教育委員会2022b,B330160,,,,,,発掘調査,20220530,小嶋善邦,,,
