ID,Citation,Author (Japanease),Author (Japanease),Publication year,Publication year,Paper name,Journal/ Report name,Link 
B380138,,双海町誌編さん委員会,ふたみちょうしへんさんいいんかい,2005,,旧石器時代,双海町誌　改訂版（双海町）,
B380139,,古田幹,ふるたみきお,1998,,上黒岩岩陰における微細石片の存在,考古学ジャーナル287,
B380140,,愛媛県松山市教育委員会,まつやましきょういくいいんかい,1989,,,松山市埋蔵文化財調査年報Ⅱ,
B380141,,松山市生涯学習振興財団埋蔵文化財調査センター,まつやまししょうがいがくしゅうしんこうざいだんまいぞうぶんかざいせんたー,1996,,,福音寺地区の遺跡　筋違F遺跡,https://sitereports.nabunken.go.jp/11757
B380142,,真鍋昭文,まなべあきふみ,1991,,宝ヶ口Ⅰ遺跡,埋文えひめ14,
B380143,,光石鳴巳・岡田憲一・田部剛士,みついしなるみ・おかだけんいち・たべつよし,2005,,上黒岩岩陰遺跡とその出土遺物についての覚書─国立歴史民俗博物館所蔵資料の紹介を中心に─,古代文化57-11号,
B380144,,三好元親,みよしもとちか,1996,,保免遺跡,一般国道11号重信道路埋蔵文化財発掘調査報告書,https://sitereports.nabunken.go.jp/29835
B380145,,山下太志・岩元愛・三好啓之,やましたふとし・いわもとあい・みよしたかゆき,2001,,,四国縦貫自動車道建設に伴う埋蔵文化財発掘調査報告書ⅩⅦ　内子町編　水戸森遺跡・七反山遺跡・今岡城跡,https://sitereports.nabunken.go.jp/29746
B380146,,和口遺跡調査団,わぐちいせきちょうさだん,1989,,愛媛県御荘町和口遺跡第4地点の試掘調査,第5回中・四国旧石器文化談話会発表資料,
B380147,,沖野新一,おきのしんいち,2000,,本村の縦長剥片石核,からさき70号,
B380148,,沖野新一,おきのしんいち,2008,,伊予市双海町池の久保の剥片,からさき158号,
B380149,,沖野新一,おきのしんいち,2010,,伊予市双海町本谷の採集石器-角錐状石器とナイフ形石器-,からさき177号,
B380150,,沖野新一,おきのしんいち,2012,,赤い旧石器を求めて-肱川流域の謎に家族で迫る-,,
B380151,,沖野新一,おきのしんいち,2015,,採集石器の器種別、石材別一覧②,からさき399号,
B380152,,沖野新一,おきのしんいち,2019,a,双海町の考古学的踏査,からさき465号,
B380153,,沖野新一,おきのしんいち,2019,b,伊予市下長沢遺跡、榎峠の範囲,からさき480号,
B380154,,沖野新一,おきのしんいち,2019,c,伊予市唐崎遺跡、本郷遺跡の範囲（案）,からさき482号,
B380155,,沖野新一,おきのしんいち,2019,d,伊予市高岡Ⅰ・Ⅱ遺跡、藤縄之森カド遺跡の範囲（案）,からさき484号,
B380156,,沖野新一,おきのしんいち,2019,e,伊予市串本村遺跡・串本村遺跡Ⅱ、池の久保の範囲（案）,からさき486号,
B380157,,沖野新一,おきのしんいち,2019,f,伊予市（仮称）犬寄Ⅰ・Ⅱ遺跡の範囲（案）,からさき489号,
B380158,,沖野新一,おきのしんいち,2019,g,伊予市（仮称）上長沢遺跡の範囲（案）,からさき497号,
B380159,,沖野新一,おきのしんいち,2019,h,伊予市本谷遺跡、本谷Ⅱ遺跡の範囲（案）,からさき499号,
B380160,,沖野新一,おきのしんいち,2019,i,伊予市（仮称）唐崎Ⅲ遺跡,からさき501号,
B380161,,沖野新一,おきのしんいち,2020,a,伊予市双海町閏住で石核採集,からさき505号,
